ID,#triplePatterns,#results,time,memory,#quins,avgQuin_Cluster,avgQuin_Bucket,#plugTriples,LinkedMDB#Requests,LinkedMDB#SolvedRequests,LinkedMDB#records,DBpedia#Requests,DBpedia#SolvedRequests,DBpedia#records,Yago#Requests,Yago#SolvedRequests,Yago#records,#SUM_Requests,#SUM_SolvedRequests,#SUM_records  
q1,1,11,3.146,71.17768,11,1,1,0,60,1,1,120,1,1,120,9,9,300,11,11
q2,1,11,2.624,75.585526,12,1.0909091,1.0909091,0,0,0,0,180,1,6,60,3,6,240,4,12
q3,2,2,2.353,76.43466,8,2,4,0,60,1,1,64,2,2,64,2,2,188,5,5
q4,2,5,2.619,72.259125,16,1.6,3.2,0,0,0,0,186,4,8,62,2,2,248,6,10
q5,1,6,2.269,96.01835,6,1,1,0,0,0,0,60,2,6,0,0,0,60,2,6
q6,4,12,109.624,876.8739,88,1.8333334,7.3333335,0,0,0,0,524,24,79,504,24,2543,1028,48,2622
q7,2,6,1.366,71.32678,16,1.3333334,2.6666667,0,0,0,0,62,2,4,68,12,12,130,14,16
q8,1,14,1.391,70.300606,16,1.1428572,1.1428572,0,16,1,1,60,4,5,60,6,10,136,11,16
q9,1,8,1.487,70.103325,8,1,1,0,0,0,0,120,3,6,12,3,4,132,6,10
q10,2,11,3.137,70.34774,22,1,2,0,0,0,0,264,14,16,0,0,0,264,14,16
q11,1,3,2.875,85.50075,3,1,1,0,0,0,0,180,3,3,0,0,0,180,3,3
q12,2,79,4.334,78.976105,270,1.7088608,3.4177215,0,192,79,172,126,34,70,116,30,59,434,143,301
q13,2,7,2.301,72.58124,28,2,4,0,60,26,84,68,10,32,62,4,10,190,40,126
q14,2,4,1.881,70.55256,14,1.75,3.5,0,10,3,10,124,4,5,40,3,6,174,10,21
q15,2,9,157.961,843.55835,23,1.2777778,2.5555556,0,0,0,0,1260,11,1758,180,6,995,1440,17,2753
q16,3,28,2.209,71.824356,113,1.3452381,4.035714,0,24,0,0,90,12,20,144,50,88,258,62,108
q17,3,52,3.104,70.73785,160,1.0256411,3.0769231,0,0,0,0,288,63,126,0,0,0,288,63,126
q18,2,2,11.833,129.59256,10,2.5,5,0,180,24,113,120,3,72,180,5,53,480,32,238
q19,2,9,3.533,76.53619,35,1.9444444,3.8888888,0,550,10,30,240,4,13,286,6,16,1076,20,59
q20,2,612,4.994,78.15949,2273,1.8570261,3.7140522,0,216,84,607,148,45,344,122,32,220,486,161,1171
q21,2,278,3.735,111.7572,866,1.557554,3.115108,0,76,11,253,66,4,85,70,6,76,212,21,414
q22,2,46,37.439,292.10336,114,1.2391304,2.4782608,0,0,0,0,660,12,147,2820,59,1232,3480,71,1379
q23,3,28,4.053,102.13904,159,1.8928572,5.678571,0,246,12,33,124,5,26,122,4,14,492,21,73
q24,2,67,3.95,110.35108,271,2.022388,4.044776,0,60,17,90,150,48,84,74,10,23,284,75,197
q25,2,14,1.252,80.42457,56,2,4,0,0,0,0,62,4,7,64,8,17,126,12,24
q26,2,4,5.959,88.21608,11,1.375,2.75,0,60,11,22,360,8,38,60,9,62,480,28,122
q27,3,210,9.244,80.48254,1124,1.784127,5.3523808,0,726,260,550,380,81,164,144,43,70,1250,384,784
q28,2,10,1.339,72.71215,20,1,2,0,0,0,0,68,4,12,0,0,0,68,4,12
q29,2,8,1.179,71.18048,41,2.5625,5.125,0,0,0,0,68,6,12,62,7,11,130,13,23
q30,1,60,2.757,78.34254,123,2.05,2.05,0,60,6,51,60,3,34,60,4,38,180,13,123
